policyId claimId rc deductible claimAmount
3 600003 900003 41639 100 41639
50 600045 900050 NA 100 16965
51 600045 900051 NA 100 363
58 600052 900058 5949 100 5949
77 600071 900077 NA 100 148
78 600071 900078 1283 100 1283
86 600079 900086 25254 100 25254
127 600120 900127 8240 100 8240
131 600124 900131 NA 100 785
132 600124 900132 NA 100 158
135 600127 900135 29003 100 29003
136 600128 900136 NA 100 363
137 600128 900137 NA 100 3352
139 600130 900139 NA 100 3098
142 600133 900142 12619 100 12619
146 600137 900146 NA 100 1630
156 600147 900156 12846 100 12846
164 600155 900164 23298 100 23298
166 600157 900166 7718 100 7718
168 600159 900168 6814 100 6814
171 600162 900171 5118 100 5118
172 600163 900172 5540 100 5540
173 600164 900173 7986 100 7986
227 600209 900227 12038 100 12038
232 600214 900232 6491 100 6491
236 600218 900236 6012 100 6012
242 600224 900242 1016 100 1016
253 600231 900253 27604 100 27604
260 600234 900260 8372 100 8372
264 600238 900264 14401 100 14401
268 600241 900268 NA 100 712
271 600243 900271 20608 100 20608
273 600245 900273 NA 100 3927
276 600248 900276 6514 100 6514
305 600267 900305 NA 100 1409
306 600267 900306 NA 100 488
307 600267 900307 NA 100 336
308 600268 900308 NA 100 201
309 600268 900309 NA 100 491
320 600275 900320 NA 100 290
321 600276 900321 NA 100 422
337 600290 900337 NA 100 227
338 600291 900338 1184 100 1184
339 600292 900339 NA 100 429
340 600292 900340 NA 100 363
347 600299 900347 NA 100 237
348 600299 900348 1112 100 1112
353 600304 900353 4154 100 4154
359 600308 900359 NA 100 191
360 600308 900360 NA 100 669
361 600309 900361 1204 100 1204
369 600314 900369 24792 100 24792
401 600334 900401 20047 100 20047
408 600341 900408 7190 100 7190
409 600342 900409 11441 100 11441
410 600343 900410 NA 100 623
416 600348 900416 NA 100 1293
420 600352 900420 NA 100 1188
421 600352 900421 NA 100 693
422 600352 900422 3078 100 3078
430 600357 900430 NA 100 557
433 600360 900433 250 100 250
436 600362 900436 31577 100 31577
441 600365 900441 4603 100 4603
445 600367 900445 NA 100 3138
452 600372 900452 NA 100 528
455 600375 900455 18961 100 18961
456 600376 900456 NA 100 415
460 600380 900460 NA 100 861
461 600380 900461 2960 100 2960
471 600385 900471 3059 100 3059
479 600390 900479 NA 100 171
480 600391 900480 NA 100 287
481 600391 900481 NA 100 1105
483 600393 900483 NA 100 24033
488 600398 900488 7606 100 7606
493 600403 900493 4002 100 4002
494 600404 900494 1204 100 1204
506 600410 900506 NA 100 207
510 600414 900510 31125 100 31125
514 600418 900514 NA 100 247
529 600427 900529 23753 100 23753
530 600428 900530 7137 100 7137
534 600432 900534 4936 100 4936
538 600436 900538 16968 100 16968
543 600440 900543 NA 100 128
544 600440 900544 NA 100 623
545 600440 900545 NA 100 415
565 600451 900565 NA 100 7603
569 600454 900569 21648 100 21648
575 600457 900575 26231 100 26231
577 600459 900577 NA 100 2448
578 600460 900578 NA 100 1534
585 600466 900585 10649 100 10649
587 600468 900587 17486 100 17486
588 600469 900588 9728 100 9728
596 600473 900596 1593 100 1593
599 600476 900599 NA 100 283
600 600476 900600 NA 100 105
601 600476 900601 382 100 382
602 600477 900602 9837 100 9837
603 600478 900603 NA 100 1211
604 600478 900604 NA 100 2019
605 600479 900605 NA 100 448
612 600485 900612 8461 100 8461
613 600486 900613 1204 100 1204
616 600489 900616 NA 100 1551
623 600495 900623 NA 100 2158
624 600495 900624 NA 100 2372
625 600495 900625 NA 100 429
629 600498 900629 NA 100 369
630 600499 900630 20816 100 20816
641 600508 900641 NA 100 963
642 600508 900642 4794 100 4794
643 600509 900643 NA 100 699
644 600509 900644 759 100 759
645 600510 900645 9127 100 9127
647 600512 900647 NA 100 2138
651 600515 900651 NA 100 264
652 600515 900652 NA 100 999
653 600515 900653 3385 100 3385
655 600517 900655 181 100 181
656 600518 900656 6378 100 6378
660 600521 900660 NA 100 1023
661 600521 900661 NA 100 660
673 600527 900673 NA 100 2521
674 600527 900674 NA 100 382
675 600528 900675 5210 100 5210
682 600534 900682 8342 100 8342
720 600554 900720 NA 100 6068
721 600555 900721 686 100 686
722 600556 900722 NA 100 580
726 600560 900726 NA 100 2805
730 600564 900730 NA 100 1749
731 600564 900731 3765 100 3765
733 600566 900733 24812 100 24812
739 600571 900739 NA 100 280
740 600571 900740 NA 100 696
745 600575 900745 9216 100 9216
755 600582 900755 NA 100 577
770 600592 900770 NA 100 323
771 600592 900771 NA 100 293
772 600592 900772 NA 100 772
777 600597 900777 NA 100 270
778 600597 900778 372 100 372
780 600599 900780 NA 100 481
781 600600 900781 NA 100 785
782 600600 900782 194 100 194
783 600601 900783 NA 100 498
784 600602 900784 NA 100 293
785 600602 900785 NA 100 188
791 600607 900791 NA 100 1306
792 600608 900792 7675 100 7675
797 600610 900797 NA 100 1765
798 600610 900798 NA 100 349
799 600610 900799 191 100 191
804 600615 900804 NA 100 495
805 600616 900805 NA 100 1821
808 600619 900808 5293 100 5293
809 600620 900809 NA 100 438
810 600621 900810 21073 100 21073
813 600623 900813 NA 100 699
817 600625 900817 6837 100 6837
827 600633 900827 4788 100 4788
828 600634 900828 NA 100 514
834 600639 900834 NA 100 435
835 600639 900835 NA 100 429
836 600639 900836 NA 100 339
837 600639 900837 NA 100 643
839 600641 900839 270 100 270
844 600645 900844 NA 100 1603
846 600647 900846 NA 100 6283
847 600648 900847 861 100 861
851 600651 900851 1009 100 1009
855 600653 900855 13708 100 13708
859 600657 900859 NA 100 174
860 600658 900860 NA 100 584
861 600658 900861 NA 100 630
862 600658 900862 NA 100 1953
863 600658 900863 214 100 214
867 600661 900867 NA 100 204
879 600668 900879 NA 100 11728
880 600669 900880 8286 100 8286
898 600683 900898 NA 100 409
905 600688 900905 NA 100 2135
907 600690 900907 NA 100 1191
908 600690 900908 NA 100 1019
909 600691 900909 27304 100 27304
919 600694 900919 NA 100 666
920 600695 900920 11022 100 11022
921 600696 900921 1970 100 1970
922 600697 900922 NA 100 1003
923 600697 900923 NA 100 171
925 600699 900925 20631 100 20631
941 600707 900941 NA 100 613
945 600710 900945 NA 100 726
946 600710 900946 NA 100 485
947 600710 900947 NA 100 2187
948 600710 900948 NA 100 231
949 600710 900949 NA 100 214
951 600712 900951 NA 100 283
952 600712 900952 NA 100 174
953 600713 900953 NA 100 590
954 600714 900954 9025 100 9025
956 600716 900956 1204 100 1204
975 600725 900975 NA 100 389
981 600728 900982 NA 100 1567
982 600729 900983 5468 100 5468
986 600732 900987 12932 100 12932
988 600734 900989 NA 100 323
989 600734 900990 NA 100 2069
990 600734 900991 NA 100 422
992 600736 900993 8408 100 8408
996 600740 900997 NA 100 528
998 600742 900999 23786 100 23786
